"Year","Make","Model","ModificationID","Trim","TrimLevels","Generation","GenYears","EngineFuel","EngineCapacity","EngineType","EngineHP","BoltPattern","CenterBore","StudHoles","PCD","ThreadSize","FastenerType","TorqueNm","TireType","Regions","WheelSetupCount","WheelSetup1","WheelSetup2","WheelSetup3","WheelSetup4","WheelSetup5"
"2024","ford","f-150","89e8c94729","3.5 EcoBoost","XL, XLT, Lariat, Tremor, King Ranch, Platinum","XIV (P702) Facelift","2024-2027","Petrol","3.5","V6","400","6x135","87.1","6","135","M14 x 1.5","Lug nuts","204 Nm","SUV","cdm, ladm, medm, usdm","8","17""x7.5"" ET44 -> 245/70R17 [Stock]","17""x7.5"" ET44 -> 265/70R17 [Stock]","18""x7.5"" ET34 -> 265/60R18 [Stock]","18""x7.5"" ET44 -> 275/65R18 [Stock]","20""x8.5"" ET44 -> 275/60R20 [Stock]"
"2024","chevrolet","silverado-1500","ec9a381cdb","2.7 TurboMax","WT, Custom, Custom Trail Boss, LT, RST, LT Trail Boss","IV (T1XX) Facelift","2022-2027","Petrol","2.7","I4","310","6x139.7","78.1","6","139.7","M14 x 1.5","Lug nuts","190 Nm","SUV","cdm, usdm","7","17""x8"" ET24 -> 255/70R17 [Stock]","17""x8"" ET24 -> 265/70R17 [Stock]","18""x8.5"" ET26 -> 265/65R18 [Stock]","20""x9"" ET28 -> 275/60R20 [Plus-Size]","22""x9"" ET28 -> 275/50R22 [Plus-Size]"
"2024","ram","1500","f4c5202312","3.6 Pentastar","Tradesman, Tradesman HFE, Big Horn, Lone Star, Laramie, Laramie Longhorn, Limited Longhorn, Limited","V (DT)","2019-2024","Petrol","3.6","V6","305","6x139.7","77.8","6","139.7","M14 x 1.5","Lug nuts","176 Nm","SUV","cdm, ladm, mxndm, medm, sam, usdm","4","18""x8"" ET19.05 -> 275/65R18 [Stock]","20""x9"" ET19.05 -> 275/55R20 [Plus-Size]","18""x8"" ET19.05 -> LT275/65R18 [Plus-Size]","22""x9"" ET19.1 -> 285/45R22 [Plus-Size]",
"2024","jeep","wrangler","e99f18c25e","3.6 Pentastar","Sport, Sport S, Sport Altitude, Islander, RHD, Sahara, Sahara Altitude, Willys, Willys Sport, Freedom, 80 Anniversary, Rubicon, Unlimited Rubicon, High Altitude, High Tide","IV (JL)","2018-2024","Petrol","3.6","V6","285","5x127","71.6","5","127","M14 x 1.5","Lug nuts","176 Nm","SUV","cdm, chdm, mxndm, medm, sam, usdm","5","17""x7.5"" ET44.45 -> 245/75R17 [Stock]","17""x7.5"" ET44.45 -> LT255/75R17 [Stock]","18""x7.5"" ET44.45 -> 255/70R18 [Stock]","20""x8"" ET44.45 -> 275/55R20 [Stock]","17""x7.5"" ET37.17 -> LT285/70R17 [Stock]"
"2024","toyota","tacoma","3a26b9a281","2.4T","SR","IV (N400)","2024-2027","Petrol","2.4","I4","228","6x139.7","95.2","6","139.7","M14 x 1.5","Lug nuts","131 Nm","SUV","cdm, mxndm, usdm","5","17""x7"" ET60 -> 245/70R17 [Stock]","17""x7.5"" ET55 -> 265/70R17 [Plus-Size]","18""x7.5"" ET55 -> 265/65R18 [Plus-Size]","18""x8"" ET45 -> 265/65R18 [Plus-Size]","18""x9"" ET15 -> 265/70R18 [Plus-Size]"
"2024","toyota","camry","f347dcae26","2.5 VVT-i","Standard, Standard Plus, Classic","VIII (XV70) Facelift","2020-2024","Petrol","2.5","I4","204","5x114.3","60.1","5","114.3","M12 x 1.5","Lug nuts","103 Nm","Passenger","cdm, chdm, medm, audm, russia, skdm, usdm","3","17""x7.5"" ET45 -> 215/55R17 [Stock]","18""x8"" ET50 -> 235/45R18 [Stock]","19""x8"" ET50 -> 235/40R19 [Plus-Size]",,
"2024","honda","accord","cdb26524db","1.5 Turbo","LX, EX, SE","XI (CY)","2022-2027","Petrol","1.5","I4","192","5x114.3","64.1","5","114.3","M12 x 1.5","Lug nuts","108 Nm","Passenger","cdm, ladm, mxndm, medm, usdm","2","17""x7.5"" ET45 -> 225/50R17 [Stock]","19""x8.5"" ET50 -> 235/40R19 [Plus-Size]",,,
"2024","bmw","3-series","14ef6e788a","330e xDrive","","VII LCI (G20/G21/G28)","2022-2024","Hybrid","2.0","I4","288","5x112","66.6","5","112","M14 x 1.25","Lug bolts","140 Nm","Passenger","ladm, eudm, nadm, russia, usdm","8","17""x7.5"" ET30 -> 225/50ZR17 [Stock]","18""x7.5"" ET25 -> 225/45ZR18 [Stock]","18""x7.5"" ET25 -> 225/45ZR18 [Plus-Size]","19""x8"" ET27 -> 225/40ZR19 [Plus-Size]","20""x8"" ET27 -> 225/35ZR20 [Plus-Size]"
"2024","ford","mustang","598bb634aa","5.0 Ti-VCT","Dark Horse, Dark Horse Premium","VII (S650)","2024-2027","Petrol","5.0","V8","500","5x114.3","70.5","5","114.3","M14 x 1.5","Lug nuts","204 Nm","Passenger","cdm, ladm, medm, usdm","2","19""x9.5"" ET40 -> 255/40ZR19 [Stock]","19""x10.5"" ET24 -> 305/30ZR19 [Plus-Size]",,,
"2024","chevrolet","corvette","1621e59114","6.2 Stingray","1LT, 2LT, 3LT","C8","2020-2027","Petrol","6.2","V8","490","5x120","66.9","5","120","M14 x 1.5","Lug nuts","190 Nm","Passenger","cdm, medm, usdm","2","19""x8.5"" ET52 -> 245/35ZR19 [Stock]","19""x10"" ET43 -> 285/30ZR19 [Plus-Size]",,,
