"Year","Make","Model","ModificationID","Trim","TrimLevels"
"2002","dodge","ram-1500","d9092432cf","5.9i","ST; SXT; SLT"
"2008","Dodge","Caravan","N/A","N/A","N/A"
"2013","toyota","tundra","a3bef8ab93","4.6",""
"2005","jeep","wrangler","a7e3a8dde2","2.4i",""
"2000","bmw","5-series","df5ac9f24b","528i",""
"1998","gmc","sierra-1500","092f49cd18","6.5D","K1500"
"2000","chevrolet","impala","4b21fe9e2f","3.4i",""
"1999","jeep","grand-cherokee","ee8dca136b","4.7i","Laredo; Limited; Columbia; Special Edition"
"2004","honda","accord","c420da04d0","3.0i","EX; LX"
"2009","Volkswagen","Golf","N/A","N/A","N/A"
"2002","nissan","sentra","83c46dd089","1.8i",""
"2003","volkswagen","passat","5da4215028","2.8i",""
"2002","gmc","yukon","8ce241e1ed","5.3i",""
"2001","dodge","caravan","b08e00c7f3","3.3i",""
"1996","dodge","caravan","61339e4340","3.8i","LE"
"1998","chevrolet","tahoe","4d240e211b","6.5D",""
"1995","ford","f-150","405e0946bc","4.9",""
"2006","dodge","durango","4d0505284a","4.7 Magnum",""
"2003","chevrolet","blazer","b69f0672e8","4.3i",""
"2012","toyota","corolla","2b0fe1a3e2","1.8 VVT-i","L; LE; S"
